day,interval,detid,flow,occ,error,city,speed
2008-05-23,40320,38,420.0,0.0611111111111111,,toulouse,
2008-05-16,76680,38,340.0,0.0388888888888889,,toulouse,
2008-06-13,11340,38,0.0,0.0,,toulouse,
2008-05-16,42660,38,320.0,0.0333333333333333,,toulouse,
2008-05-23,84960,38,160.0,0.0222222222222222,,toulouse,
2008-06-06,63000,38,360.0,0.0333333333333333,,toulouse,
2008-05-16,22500,38,80.0,0.0222222222222222,,toulouse,
2008-05-23,73080,38,360.0,0.0333333333333333,,toulouse,
2008-06-06,31500,38,380.0,0.0388888888888889,,toulouse,
2008-06-13,71820,38,100.0,0.0055555555555555,,toulouse,
2008-05-30,36540,38,360.0,0.0555555555555556,,toulouse,
2008-05-30,63540,38,320.0,0.0555555555555556,,toulouse,
2008-05-16,29880,38,360.0,0.0444444444444444,,toulouse,
2008-05-16,46980,38,380.0,0.05,,toulouse,
2008-06-27,9000,38,40.0,0.0055555555555555,,toulouse,
2008-05-30,86040,38,0.0,0.0,,toulouse,
2008-06-13,83520,38,320.0,0.0333333333333333,,toulouse,
2008-06-20,26820,38,180.0,0.0166666666666667,,toulouse,
2008-06-20,25740,38,300.0,0.0333333333333333,,toulouse,
2008-06-13,0,38,100.0,0.0111111111111111,,toulouse,
2008-05-23,33660,38,180.0,0.0166666666666667,,toulouse,
2008-06-20,80460,38,200.0,0.0222222222222222,,toulouse,
2008-06-20,56520,38,300.0,0.0611111111111111,,toulouse,
2008-06-13,43020,38,220.0,0.0333333333333333,,toulouse,
2008-06-06,27900,38,160.0,0.0222222222222222,,toulouse,
2008-06-13,59580,38,360.0,0.0555555555555556,,toulouse,
2008-05-23,22860,38,100.0,0.0111111111111111,,toulouse,
2008-05-30,83160,38,0.0,0.0,,toulouse,
2008-05-16,19440,38,0.0,0.0,,toulouse,
2008-06-27,54900,38,320.0,0.05,,toulouse,
2008-05-30,64800,38,200.0,0.0277777777777778,,toulouse,
2008-05-16,37260,38,580.0,0.0722222222222222,,toulouse,
2008-06-20,18000,38,20.0,0.0166666666666667,,toulouse,
2008-05-23,35100,38,300.0,0.0333333333333333,,toulouse,
2008-06-20,18540,38,0.0,0.0,,toulouse,
2008-05-16,32940,38,180.0,0.0444444444444444,,toulouse,
2008-05-23,17460,38,0.0,0.0,,toulouse,
2008-06-13,7560,38,100.0,0.0055555555555555,,toulouse,
2008-05-23,34740,38,260.0,0.0388888888888889,,toulouse,
2008-06-20,39240,38,280.0,0.0333333333333333,,toulouse,
2008-05-30,75960,38,0.0,0.0,,toulouse,
2008-05-30,25560,38,60.0,0.0055555555555555,,toulouse,
2008-05-23,29520,38,400.0,0.05,,toulouse,
2008-06-13,21780,38,100.0,0.0166666666666667,,toulouse,
2008-06-27,75960,38,220.0,0.0222222222222222,,toulouse,
2008-06-06,37260,38,300.0,0.0388888888888889,,toulouse,
2008-05-16,53640,38,280.0,0.0444444444444444,,toulouse,
2008-05-30,81900,38,0.0,0.0,,toulouse,
2008-06-13,83880,38,440.0,0.05,,toulouse,
2008-06-13,57780,38,180.0,0.0166666666666667,,toulouse,
2008-06-13,40140,38,440.0,0.0722222222222222,,toulouse,
2008-06-13,8100,38,140.0,0.0166666666666667,,toulouse,
2008-06-13,74160,38,380.0,0.0333333333333333,,toulouse,
2008-05-23,85500,38,240.0,0.0277777777777778,,toulouse,
2008-06-20,21240,38,0.0,0.0,,toulouse,
2008-06-13,34020,38,180.0,0.0166666666666667,,toulouse,
2008-06-27,6660,38,100.0,0.0166666666666667,,toulouse,
2008-06-20,72540,38,0.0,0.0,,toulouse,
2008-06-20,21420,38,140.0,0.0388888888888889,,toulouse,
2008-05-23,21060,38,80.0,0.0055555555555555,,toulouse,
2008-05-16,41580,38,400.0,0.0555555555555556,,toulouse,
2008-06-06,48420,38,120.0,0.0166666666666667,,toulouse,
2008-05-23,32940,38,240.0,0.0222222222222222,,toulouse,
2008-06-27,77940,38,100.0,0.0111111111111111,,toulouse,
2008-05-23,9720,38,80.0,0.0055555555555555,,toulouse,
2008-05-16,1620,38,180.0,0.0166666666666667,,toulouse,
2008-05-30,2880,38,60.0,0.0055555555555555,,toulouse,
2008-06-06,81540,38,200.0,0.0166666666666667,,toulouse,
2008-05-16,11340,38,40.0,0.0055555555555555,,toulouse,
2008-05-30,61920,38,220.0,0.0277777777777778,,toulouse,
2008-06-27,50940,38,440.0,0.0666666666666667,,toulouse,
2008-05-23,36180,38,380.0,0.05,,toulouse,
2008-05-30,47340,38,200.0,0.0222222222222222,,toulouse,
2008-05-23,68940,38,240.0,0.0277777777777778,,toulouse,
2008-05-23,46080,38,240.0,0.0222222222222222,,toulouse,
2008-06-06,35640,38,240.0,0.0222222222222222,,toulouse,
2008-05-16,74700,38,200.0,0.0222222222222222,,toulouse,
2008-05-30,55080,38,240.0,0.0555555555555556,,toulouse,
2008-06-20,35280,38,520.0,0.0722222222222222,,toulouse,
2008-06-27,45720,38,360.0,0.0666666666666667,,toulouse,
2008-05-23,51300,38,140.0,0.0111111111111111,,toulouse,
2008-06-20,29160,38,360.0,0.0388888888888889,,toulouse,
2008-06-13,42660,38,380.0,0.0666666666666667,,toulouse,
2008-05-16,81720,38,220.0,0.0277777777777778,,toulouse,
2008-05-23,45000,38,280.0,0.0333333333333333,,toulouse,
2008-05-16,2700,38,160.0,0.0166666666666667,,toulouse,
2008-05-23,26820,38,120.0,0.0055555555555555,,toulouse,
2008-06-27,71460,38,160.0,0.0166666666666667,,toulouse,
2008-06-13,10260,38,80.0,0.0055555555555555,,toulouse,
2008-05-16,56340,38,300.0,0.0388888888888889,,toulouse,
2008-05-16,17640,38,0.0,0.0,,toulouse,
2008-05-16,33300,38,400.0,0.0388888888888889,,toulouse,
2008-05-30,23760,38,40.0,0.0055555555555555,,toulouse,
2008-05-30,58500,38,160.0,0.0166666666666667,,toulouse,
2008-06-06,81900,38,220.0,0.0222222222222222,,toulouse,
2008-05-23,29340,38,280.0,0.0333333333333333,,toulouse,
2008-06-06,84240,38,280.0,0.0277777777777778,,toulouse,
2008-06-20,19260,38,0.0,0.0,,toulouse,
2008-05-23,16560,38,0.0,0.0,,toulouse,
