hour,value,site,season,case,var
22,0.8454269,FR-Cap,Summer,traffic,TBUILD
23,0.72424006,FR-Cap,Summer,traffic,TBUILD
0,0.4739704,FR-Cap,Winter,traffic,TRAFFICFLUX
1,0.4747869,FR-Cap,Winter,traffic,TRAFFICFLUX
2,0.1577536,FR-Cap,Winter,traffic,TRAFFICFLUX
3,0.15767054,FR-Cap,Winter,traffic,TRAFFICFLUX
4,0.05261862,FR-Cap,Winter,traffic,TRAFFICFLUX
5,0.0001878861,FR-Cap,Winter,traffic,TRAFFICFLUX
6,0.0,FR-Cap,Winter,traffic,TRAFFICFLUX
7,0.105321184,FR-Cap,Winter,traffic,TRAFFICFLUX
8,0.47357416,FR-Cap,Winter,traffic,TRAFFICFLUX
9,0.7897315,FR-Cap,Winter,traffic,TRAFFICFLUX
10,1.0,FR-Cap,Winter,traffic,TRAFFICFLUX
11,0.79100144,FR-Cap,Winter,traffic,TRAFFICFLUX
12,0.78915894,FR-Cap,Winter,traffic,TRAFFICFLUX
13,0.78950375,FR-Cap,Winter,traffic,TRAFFICFLUX
14,0.63236785,FR-Cap,Winter,traffic,TRAFFICFLUX
15,0.7117955,FR-Cap,Winter,traffic,TRAFFICFLUX
16,0.79232603,FR-Cap,Winter,traffic,TRAFFICFLUX
17,0.6319437,FR-Cap,Winter,traffic,TRAFFICFLUX
18,0.7891868,FR-Cap,Winter,traffic,TRAFFICFLUX
19,0.684791,FR-Cap,Winter,traffic,TRAFFICFLUX
20,0.6340845,FR-Cap,Winter,traffic,TRAFFICFLUX
21,0.63306797,FR-Cap,Winter,traffic,TRAFFICFLUX
22,0.6312721,FR-Cap,Winter,traffic,TRAFFICFLUX
23,0.47373196,FR-Cap,Winter,traffic,TRAFFICFLUX
0,0.14768921,FR-Cap,Winter,traffic,TG_U
1,0.12815809,FR-Cap,Winter,traffic,TG_U
2,0.088575274,FR-Cap,Winter,traffic,TG_U
3,0.071558595,FR-Cap,Winter,traffic,TG_U
4,0.046162836,FR-Cap,Winter,traffic,TG_U
5,0.024404151,FR-Cap,Winter,traffic,TG_U
6,0.012235719,FR-Cap,Winter,traffic,TG_U
7,0.002103623,FR-Cap,Winter,traffic,TG_U
8,0.0,FR-Cap,Winter,traffic,TG_U
9,0.04680738,FR-Cap,Winter,traffic,TG_U
10,0.27202606,FR-Cap,Winter,traffic,TG_U
11,0.5657612,FR-Cap,Winter,traffic,TG_U
12,0.73649824,FR-Cap,Winter,traffic,TG_U
13,0.8980947,FR-Cap,Winter,traffic,TG_U
14,1.0,FR-Cap,Winter,traffic,TG_U
15,0.9969756,FR-Cap,Winter,traffic,TG_U
16,0.8959061,FR-Cap,Winter,traffic,TG_U
17,0.6661508,FR-Cap,Winter,traffic,TG_U
18,0.5181854,FR-Cap,Winter,traffic,TG_U
19,0.37753657,FR-Cap,Winter,traffic,TG_U
20,0.29096928,FR-Cap,Winter,traffic,TG_U
21,0.2543365,FR-Cap,Winter,traffic,TG_U
22,0.21338315,FR-Cap,Winter,traffic,TG_U
23,0.17250063,FR-Cap,Winter,traffic,TG_U
0,0.31234106,FR-Cap,Winter,traffic,TSA_U
1,0.27608192,FR-Cap,Winter,traffic,TSA_U
2,0.21557935,FR-Cap,Winter,traffic,TSA_U
3,0.16982226,FR-Cap,Winter,traffic,TSA_U
4,0.12000798,FR-Cap,Winter,traffic,TSA_U
5,0.06960163,FR-Cap,Winter,traffic,TSA_U
6,0.03725632,FR-Cap,Winter,traffic,TSA_U
7,0.017911453,FR-Cap,Winter,traffic,TSA_U
8,0.0,FR-Cap,Winter,traffic,TSA_U
9,0.018615695,FR-Cap,Winter,traffic,TSA_U
10,0.1707384,FR-Cap,Winter,traffic,TSA_U
11,0.41479906,FR-Cap,Winter,traffic,TSA_U
12,0.5777908,FR-Cap,Winter,traffic,TSA_U
13,0.7689211,FR-Cap,Winter,traffic,TSA_U
14,0.92020863,FR-Cap,Winter,traffic,TSA_U
15,0.9820262,FR-Cap,Winter,traffic,TSA_U
16,1.0,FR-Cap,Winter,traffic,TSA_U
17,0.9042354,FR-Cap,Winter,traffic,TSA_U
18,0.8050681,FR-Cap,Winter,traffic,TSA_U
19,0.67364264,FR-Cap,Winter,traffic,TSA_U
20,0.56718355,FR-Cap,Winter,traffic,TSA_U
21,0.50745374,FR-Cap,Winter,traffic,TSA_U
22,0.43557113,FR-Cap,Winter,traffic,TSA_U
